Episode,Season,Title,Location,Speaker,Context,Token
401,1,Emissary,security office,Quark,,provisional
401,1,Emissary,security office,Quark,,for
401,1,Emissary,security office,Quark,,my
401,1,Emissary,security office,Quark,,taste
401,1,Emissary,security office,Quark,,.
401,1,Emissary,security office,Quark,,and
401,1,Emissary,security office,Quark,,when
401,1,Emissary,security office,Quark,,governments
401,1,Emissary,security office,Quark,,fall
401,1,Emissary,security office,Quark,,","
401,1,Emissary,security office,Quark,,people
401,1,Emissary,security office,Quark,,like
401,1,Emissary,security office,Quark,,me
401,1,Emissary,security office,Quark,,are
401,1,Emissary,security office,Quark,,lined
401,1,Emissary,security office,Quark,,up
401,1,Emissary,security office,Quark,,and
401,1,Emissary,security office,Quark,,shot
401,1,Emissary,security office,Quark,,.
401,1,Emissary,quark's,Quark,,what
401,1,Emissary,quark's,Quark,,'ll
401,1,Emissary,quark's,Quark,,you
401,1,Emissary,quark's,Quark,,have
401,1,Emissary,quark's,Quark,,","
401,1,Emissary,quark's,Quark,,commander
401,1,Emissary,quark's,Quark,,?
401,1,Emissary,quark's,Quark,,you
401,1,Emissary,quark's,Quark,,wo
401,1,Emissary,quark's,Quark,,n't
401,1,Emissary,quark's,Quark,,like
401,1,Emissary,quark's,Quark,,it
401,1,Emissary,quark's,Quark,,.
401,1,Emissary,quark's,Quark,,i
401,1,Emissary,quark's,Quark,,love
401,1,Emissary,quark's,Quark,,the
401,1,Emissary,quark's,Quark,,bajorans
401,1,Emissary,quark's,Quark,,.
401,1,Emissary,quark's,Quark,,such
401,1,Emissary,quark's,Quark,,a
401,1,Emissary,quark's,Quark,,deeply
401,1,Emissary,quark's,Quark,,spiritual
401,1,Emissary,quark's,Quark,,culture
401,1,Emissary,quark's,Quark,,","
401,1,Emissary,quark's,Quark,,but
401,1,Emissary,quark's,Quark,,they
401,1,Emissary,quark's,Quark,,make
401,1,Emissary,quark's,Quark,,a
401,1,Emissary,quark's,Quark,,dreadful
401,1,Emissary,quark's,Quark,,ale
401,1,Emissary,quark's,Quark,,.
401,1,Emissary,quark's,Quark,,never
401,1,Emissary,quark's,Quark,,trust
401,1,Emissary,quark's,Quark,,ale
401,1,Emissary,quark's,Quark,,from
401,1,Emissary,quark's,Quark,,a
401,1,Emissary,quark's,Quark,,god-fearing
401,1,Emissary,quark's,Quark,,people
401,1,Emissary,quark's,Quark,,","
401,1,Emissary,quark's,Quark,,or
401,1,Emissary,quark's,Quark,,a
401,1,Emissary,quark's,Quark,,starfleet
401,1,Emissary,quark's,Quark,,commander
401,1,Emissary,quark's,Quark,,that
401,1,Emissary,quark's,Quark,,has
401,1,Emissary,quark's,Quark,,one
401,1,Emissary,quark's,Quark,,of
401,1,Emissary,quark's,Quark,,your
401,1,Emissary,quark's,Quark,,relatives
401,1,Emissary,quark's,Quark,,in
401,1,Emissary,quark's,Quark,,jail
401,1,Emissary,quark's,Quark,,.
401,1,Emissary,quark's,Quark,,what
401,1,Emissary,quark's,Quark,,do
401,1,Emissary,quark's,Quark,,you
401,1,Emissary,quark's,Quark,,mean
401,1,Emissary,quark's,Quark,,?
401,1,Emissary,quark's,Quark,,you
401,1,Emissary,quark's,Quark,,ca
401,1,Emissary,quark's,Quark,,n't
401,1,Emissary,quark's,Quark,,do
401,1,Emissary,quark's,Quark,,this
401,1,Emissary,quark's,Quark,,.
401,1,Emissary,quark's,Quark,,i
401,1,Emissary,quark's,Quark,,intend
401,1,Emissary,quark's,Quark,,to
401,1,Emissary,quark's,Quark,,.
401,1,Emissary,quark's,Quark,,this
401,1,Emissary,quark's,Quark,,is
401,1,Emissary,quark's,Quark,,outrageous
401,1,Emissary,quark's,Quark,,.
401,1,Emissary,quark's,Quark,,friends
401,1,Emissary,quark's,Quark,,","
401,1,Emissary,quark's,Quark,,my
401,1,Emissary,quark's,Quark,,apologies
401,1,Emissary,quark's,Quark,,.
401,1,Emissary,quark's,Quark,,a
401,1,Emissary,quark's,Quark,,minor
401,1,Emissary,quark's,Quark,,misunderstanding
401,1,Emissary,quark's,Quark,,that
401,1,Emissary,quark's,Quark,,will
401,1,Emissary,quark's,Quark,,be
401,1,Emissary,quark's,Quark,,rectified
401,1,Emissary,quark's,Quark,,shortly
401,1,Emissary,quark's,Quark,,.
401,1,Emissary,quark's,Quark,,give
401,1,Emissary,quark's,Quark,,them
401,1,Emissary,quark's,Quark,,something
401,1,Emissary,quark's,Quark,,to
401,1,Emissary,quark's,Quark,,put
401,1,Emissary,quark's,Quark,,their
401,1,Emissary,quark's,Quark,,winnings
401,1,Emissary,quark's,Quark,,into
401,1,Emissary,quark's,Quark,,.
401,1,Emissary,promenade,Quark,,new
401,1,Emissary,promenade,Quark,,rules
401,1,Emissary,promenade,Quark,,?
401,1,Emissary,promenade,Quark,,very
401,1,Emissary,promenade,Quark,,well
401,1,Emissary,promenade,Quark,,","
401,1,Emissary,promenade,Quark,,very
401,1,Emissary,promenade,Quark,,well
401,1,Emissary,promenade,Quark,,.
401,1,Emissary,promenade,Quark,,perhaps
401,1,Emissary,promenade,Quark,,we
401,1,Emissary,promenade,Quark,,could
401,1,Emissary,promenade,Quark,,discuss
401,1,Emissary,promenade,Quark,,these
401,1,Emissary,promenade,Quark,,new
401,1,Emissary,promenade,Quark,,rules
401,1,Emissary,promenade,Quark,,over
401,1,Emissary,promenade,Quark,,a
401,1,Emissary,promenade,Quark,,drink
401,1,Emissary,promenade,Quark,,.
401,1,Emissary,promenade,Quark,,oh
401,1,Emissary,promenade,Quark,,","
401,1,Emissary,promenade,Quark,,i
401,1,Emissary,promenade,Quark,,love
401,1,Emissary,promenade,Quark,,a
401,1,Emissary,promenade,Quark,,woman
401,1,Emissary,promenade,Quark,,in
401,1,Emissary,promenade,Quark,,uniform
401,1,Emissary,promenade,Quark,,.
403,1,A Man Alone,quark's,Quark,,a
403,1,A Man Alone,quark's,Quark,,lot
403,1,A Man Alone,quark's,Quark,,of
403,1,A Man Alone,quark's,Quark,,new
403,1,A Man Alone,quark's,Quark,,faces
403,1,A Man Alone,quark's,Quark,,.
403,1,A Man Alone,quark's,Quark,,everybody
403,1,A Man Alone,quark's,Quark,,wants
403,1,A Man Alone,quark's,Quark,,a
403,1,A Man Alone,quark's,Quark,,piece
403,1,A Man Alone,quark's,Quark,,of
403,1,A Man Alone,quark's,Quark,,the
403,1,A Man Alone,quark's,Quark,,new
403,1,A Man Alone,quark's,Quark,,frontier
403,1,A Man Alone,quark's,Quark,,.
403,1,A Man Alone,quark's,Quark,,grapevine
403,1,A Man Alone,quark's,Quark,,says
403,1,A Man Alone,quark's,Quark,,chief
403,1,A Man Alone,quark's,Quark,,o'brien
403,1,A Man Alone,quark's,Quark,,and
403,1,A Man Alone,quark's,Quark,,the
403,1,A Man Alone,quark's,Quark,,missus
403,1,A Man Alone,quark's,Quark,,are
403,1,A Man Alone,quark's,Quark,,having
403,1,A Man Alone,quark's,Quark,,problems
403,1,A Man Alone,quark's,Quark,,.
403,1,A Man Alone,quark's,Quark,,you
403,1,A Man Alone,quark's,Quark,,'ve
403,1,A Man Alone,quark's,Quark,,never
403,1,A Man Alone,quark's,Quark,,coupled
403,1,A Man Alone,quark's,Quark,,?
403,1,A Man Alone,quark's,Quark,,she
403,1,A Man Alone,quark's,Quark,,does
403,1,A Man Alone,quark's,Quark,,n't
403,1,A Man Alone,quark's,Quark,,like
403,1,A Man Alone,quark's,Quark,,it
403,1,A Man Alone,quark's,Quark,,here
403,1,A Man Alone,quark's,Quark,,.
403,1,A Man Alone,quark's,Quark,,i
403,1,A Man Alone,quark's,Quark,,can
403,1,A Man Alone,quark's,Quark,,so
403,1,A Man Alone,quark's,Quark,,think
403,1,A Man Alone,quark's,Quark,,about
403,1,A Man Alone,quark's,Quark,,it
403,1,A Man Alone,quark's,Quark,,.
403,1,A Man Alone,quark's,Quark,,not
403,1,A Man Alone,quark's,Quark,,at
403,1,A Man Alone,quark's,Quark,,all
403,1,A Man Alone,quark's,Quark,,.
403,1,A Man Alone,quark's,Quark,,i
403,1,A Man Alone,quark's,Quark,,know
403,1,A Man Alone,quark's,Quark,,for
403,1,A Man Alone,quark's,Quark,,a
403,1,A Man Alone,quark's,Quark,,fact
403,1,A Man Alone,quark's,Quark,,","
403,1,A Man Alone,quark's,Quark,,when
403,1,A Man Alone,quark's,Quark,,she
403,1,A Man Alone,quark's,Quark,,was
403,1,A Man Alone,quark's,Quark,,a
403,1,A Man Alone,quark's,Quark,,he
403,1,A Man Alone,quark's,Quark,,","
403,1,A Man Alone,quark's,Quark,,you
403,1,A Man Alone,quark's,Quark,,know
403,1,A Man Alone,quark's,Quark,,","
403,1,A Man Alone,quark's,Quark,,before
403,1,A Man Alone,quark's,Quark,,she
403,1,A Man Alone,quark's,Quark,,got
403,1,A Man Alone,quark's,Quark,,this
403,1,A Man Alone,quark's,Quark,,new
403,1,A Man Alone,quark's,Quark,,body
403,1,A Man Alone,quark's,Quark,,","
403,1,A Man Alone,quark's,Quark,,they
403,1,A Man Alone,quark's,Quark,,were
403,1,A Man Alone,quark's,Quark,,old
403,1,A Man Alone,quark's,Quark,,friends
403,1,A Man Alone,quark's,Quark,,.
403,1,A Man Alone,quark's,Quark,,he
403,1,A Man Alone,quark's,Quark,,came
403,1,A Man Alone,quark's,Quark,,in
403,1,A Man Alone,quark's,Quark,,on
403,1,A Man Alone,quark's,Quark,,a
403,1,A Man Alone,quark's,Quark,,transport
403,1,A Man Alone,quark's,Quark,,last
403,1,A Man Alone,quark's,Quark,,night
403,1,A Man Alone,quark's,Quark,,.
