Episode,Season,Title,Location,Speaker,Context,Token
401,1,Emissary,Saratoga - Bridge,Computer,,failure
401,1,Emissary,Saratoga - Bridge,Computer,,in
401,1,Emissary,Saratoga - Bridge,Computer,,five
401,1,Emissary,Saratoga - Bridge,Computer,,minutes
401,1,Emissary,Saratoga - Bridge,Computer,,.
401,1,Emissary,Saratoga - Bridge,Tactical,,direct
401,1,Emissary,Saratoga - Bridge,Tactical,,hit
401,1,Emissary,Saratoga - Bridge,Tactical,,decks
401,1,Emissary,Saratoga - Bridge,Tactical,,one
401,1,Emissary,Saratoga - Bridge,Tactical,,through
401,1,Emissary,Saratoga - Bridge,Tactical,,four
401,1,Emissary,Saratoga - Bridge,Tactical,,.
401,1,Emissary,Saratoga - Bridge,Sisko,,let
401,1,Emissary,Saratoga - Bridge,Sisko,,'s
401,1,Emissary,Saratoga - Bridge,Sisko,,get
401,1,Emissary,Saratoga - Bridge,Sisko,,the
401,1,Emissary,Saratoga - Bridge,Sisko,,civilians
401,1,Emissary,Saratoga - Bridge,Sisko,,to
401,1,Emissary,Saratoga - Bridge,Sisko,,the
401,1,Emissary,Saratoga - Bridge,Sisko,,escape
401,1,Emissary,Saratoga - Bridge,Sisko,,pods
401,1,Emissary,Saratoga - Bridge,Sisko,,","
401,1,Emissary,Saratoga - Bridge,Sisko,,lieutenant
401,1,Emissary,Saratoga - Bridge,Sisko,,.
401,1,Emissary,Saratoga - Bridge,Tactical,,aye
401,1,Emissary,Saratoga - Bridge,Tactical,,","
401,1,Emissary,Saratoga - Bridge,Tactical,,sir
401,1,Emissary,Saratoga - Bridge,Tactical,,.
401,1,Emissary,Corridor,Sisko,,leave
401,1,Emissary,Corridor,Sisko,,everything
401,1,Emissary,Corridor,Sisko,,.
401,1,Emissary,Corridor,Sisko,,get
401,1,Emissary,Corridor,Sisko,,to
401,1,Emissary,Corridor,Sisko,,your
401,1,Emissary,Corridor,Sisko,,assigned
401,1,Emissary,Corridor,Sisko,,evacuation
401,1,Emissary,Corridor,Sisko,,area
401,1,Emissary,Corridor,Sisko,,now
401,1,Emissary,Corridor,Sisko,,.
401,1,Emissary,Corridor,Computer,,warning
401,1,Emissary,Corridor,Computer,,.
401,1,Emissary,Corridor,Computer,,damage
401,1,Emissary,Corridor,Computer,,to
401,1,Emissary,Corridor,Computer,,warp
401,1,Emissary,Corridor,Computer,,core
401,1,Emissary,Corridor,Computer,,.
401,1,Emissary,Corridor,Computer,,containment
401,1,Emissary,Corridor,Computer,,failure
401,1,Emissary,Corridor,Computer,,in
401,1,Emissary,Corridor,Computer,,four
401,1,Emissary,Corridor,Computer,,minutes
401,1,Emissary,Corridor,Computer,,.
401,1,Emissary,Corridor,Sisko,,doran
401,1,Emissary,Corridor,Sisko,,.
401,1,Emissary,Corridor,Tactical,,i
401,1,Emissary,Corridor,Tactical,,'ll
401,1,Emissary,Corridor,Tactical,,take
401,1,Emissary,Corridor,Tactical,,care
401,1,Emissary,Corridor,Tactical,,of
401,1,Emissary,Corridor,Tactical,,her
401,1,Emissary,Corridor,Tactical,,.
401,1,Emissary,Corridor,Tactical,,you
401,1,Emissary,Corridor,Tactical,,go
401,1,Emissary,Corridor,Tactical,,on
401,1,Emissary,Corridor,Tactical,,.
401,1,Emissary,Corridor,Sisko,,have
401,1,Emissary,Corridor,Sisko,,you
401,1,Emissary,Corridor,Sisko,,seen
401,1,Emissary,Corridor,Sisko,,jennifer
401,1,Emissary,Corridor,Sisko,,?
401,1,Emissary,Sisko's quarters,Sisko,,jennifer
401,1,Emissary,Sisko's quarters,Sisko,,?
401,1,Emissary,Sisko's quarters,Sisko,,jake
401,1,Emissary,Sisko's quarters,Sisko,,!
401,1,Emissary,Sisko's quarters,Computer,,warning
401,1,Emissary,Sisko's quarters,Computer,,.
401,1,Emissary,Sisko's quarters,Computer,,damage
401,1,Emissary,Sisko's quarters,Computer,,to
401,1,Emissary,Sisko's quarters,Computer,,warp
401,1,Emissary,Sisko's quarters,Computer,,core
401,1,Emissary,Sisko's quarters,Computer,,.
401,1,Emissary,Sisko's quarters,Computer,,containment
401,1,Emissary,Sisko's quarters,Computer,,failure
401,1,Emissary,Sisko's quarters,Computer,,in
401,1,Emissary,Sisko's quarters,Computer,,three
401,1,Emissary,Sisko's quarters,Computer,,minutes
401,1,Emissary,Sisko's quarters,Computer,,.
401,1,Emissary,Sisko's quarters,Sisko,,i
401,1,Emissary,Sisko's quarters,Sisko,,'m
401,1,Emissary,Sisko's quarters,Sisko,,going
401,1,Emissary,Sisko's quarters,Sisko,,to
401,1,Emissary,Sisko's quarters,Sisko,,get
401,1,Emissary,Sisko's quarters,Sisko,,your
401,1,Emissary,Sisko's quarters,Sisko,,mom
401,1,Emissary,Sisko's quarters,Sisko,,.
401,1,Emissary,Sisko's quarters,Sisko,,you
401,1,Emissary,Sisko's quarters,Sisko,,'re
401,1,Emissary,Sisko's quarters,Sisko,,going
401,1,Emissary,Sisko's quarters,Sisko,,to
401,1,Emissary,Sisko's quarters,Sisko,,be
401,1,Emissary,Sisko's quarters,Sisko,,okay
401,1,Emissary,Sisko's quarters,Sisko,,.
401,1,Emissary,Sisko's quarters,Sisko,,jennifer
401,1,Emissary,Sisko's quarters,Sisko,,.
401,1,Emissary,Sisko's quarters,Sisko,,okay
401,1,Emissary,Sisko's quarters,Sisko,,","
401,1,Emissary,Sisko's quarters,Sisko,,jake
401,1,Emissary,Sisko's quarters,Sisko,,","
401,1,Emissary,Sisko's quarters,Sisko,,we
401,1,Emissary,Sisko's quarters,Sisko,,'ll
401,1,Emissary,Sisko's quarters,Sisko,,get
401,1,Emissary,Sisko's quarters,Sisko,,your
401,1,Emissary,Sisko's quarters,Sisko,,mom
401,1,Emissary,Sisko's quarters,Sisko,,out
401,1,Emissary,Sisko's quarters,Sisko,,and
401,1,Emissary,Sisko's quarters,Sisko,,we
401,1,Emissary,Sisko's quarters,Sisko,,'ll
401,1,Emissary,Sisko's quarters,Sisko,,get
401,1,Emissary,Sisko's quarters,Sisko,,out
401,1,Emissary,Sisko's quarters,Sisko,,of
401,1,Emissary,Sisko's quarters,Sisko,,here
401,1,Emissary,Sisko's quarters,Sisko,,.
401,1,Emissary,Sisko's quarters,Tactical,,commander
401,1,Emissary,Sisko's quarters,Tactical,,!
401,1,Emissary,Sisko's quarters,Sisko,,help
401,1,Emissary,Sisko's quarters,Sisko,,me
401,1,Emissary,Sisko's quarters,Sisko,,.
401,1,Emissary,Sisko's quarters,Sisko,,jennifer
401,1,Emissary,Sisko's quarters,Sisko,,","
401,1,Emissary,Sisko's quarters,Sisko,,hold
401,1,Emissary,Sisko's quarters,Sisko,,on
401,1,Emissary,Sisko's quarters,Sisko,,.
401,1,Emissary,Sisko's quarters,Tactical,scanning her,sir
401,1,Emissary,Sisko's quarters,Tactical,scanning her,.
401,1,Emissary,Sisko's quarters,Sisko,,just
401,1,Emissary,Sisko's quarters,Sisko,,help
401,1,Emissary,Sisko's quarters,Sisko,,me
401,1,Emissary,Sisko's quarters,Sisko,,to
401,1,Emissary,Sisko's quarters,Sisko,,get
401,1,Emissary,Sisko's quarters,Sisko,,her
401,1,Emissary,Sisko's quarters,Sisko,,free
401,1,Emissary,Sisko's quarters,Sisko,,.
401,1,Emissary,Sisko's quarters,Tactical,,she
401,1,Emissary,Sisko's quarters,Tactical,,'s
401,1,Emissary,Sisko's quarters,Tactical,,gone
401,1,Emissary,Sisko's quarters,Tactical,,.
401,1,Emissary,Sisko's quarters,Tactical,,there
401,1,Emissary,Sisko's quarters,Tactical,,'s
401,1,Emissary,Sisko's quarters,Tactical,,nothing
401,1,Emissary,Sisko's quarters,Tactical,,we
401,1,Emissary,Sisko's quarters,Tactical,,can
401,1,Emissary,Sisko's quarters,Tactical,,do
401,1,Emissary,Sisko's quarters,Tactical,,.
401,1,Emissary,Sisko's quarters,Tactical,,we
401,1,Emissary,Sisko's quarters,Tactical,,have
401,1,Emissary,Sisko's quarters,Tactical,,to
401,1,Emissary,Sisko's quarters,Tactical,,leave
401,1,Emissary,Sisko's quarters,Tactical,,.
401,1,Emissary,Sisko's quarters,Computer,,warning
401,1,Emissary,Sisko's quarters,Computer,,.
401,1,Emissary,Sisko's quarters,Computer,,damage
401,1,Emissary,Sisko's quarters,Computer,,to
401,1,Emissary,Sisko's quarters,Computer,,warp
401,1,Emissary,Sisko's quarters,Computer,,core
401,1,Emissary,Sisko's quarters,Computer,,.
401,1,Emissary,Sisko's quarters,Computer,,containment
401,1,Emissary,Sisko's quarters,Computer,,failure
401,1,Emissary,Sisko's quarters,Computer,,in
401,1,Emissary,Sisko's quarters,Computer,,two
401,1,Emissary,Sisko's quarters,Computer,,minutes
401,1,Emissary,Sisko's quarters,Computer,,.
401,1,Emissary,Sisko's quarters,Tactical,,ensign
401,1,Emissary,Sisko's quarters,Tactical,,","
401,1,Emissary,Sisko's quarters,Tactical,,take
401,1,Emissary,Sisko's quarters,Tactical,,the
401,1,Emissary,Sisko's quarters,Tactical,,boy
401,1,Emissary,Sisko's quarters,Tactical,,.
401,1,Emissary,Sisko's quarters,Ensign,,aye
401,1,Emissary,Sisko's quarters,Ensign,,","
401,1,Emissary,Sisko's quarters,Ensign,,sir
401,1,Emissary,Sisko's quarters,Ensign,,.
401,1,Emissary,Sisko's quarters,Tactical,,we
401,1,Emissary,Sisko's quarters,Tactical,,'ve
401,1,Emissary,Sisko's quarters,Tactical,,got
401,1,Emissary,Sisko's quarters,Tactical,,to
401,1,Emissary,Sisko's quarters,Tactical,,go
401,1,Emissary,Sisko's quarters,Tactical,,now
401,1,Emissary,Sisko's quarters,Tactical,,","
401,1,Emissary,Sisko's quarters,Tactical,,sir
401,1,Emissary,Sisko's quarters,Tactical,,.
401,1,Emissary,Sisko's quarters,Sisko,,damn
401,1,Emissary,Sisko's quarters,Sisko,,it
401,1,Emissary,Sisko's quarters,Sisko,,","
401,1,Emissary,Sisko's quarters,Sisko,,we
401,1,Emissary,Sisko's quarters,Sisko,,just
401,1,Emissary,Sisko's quarters,Sisko,,ca
401,1,Emissary,Sisko's quarters,Sisko,,n't
401,1,Emissary,Sisko's quarters,Sisko,,leave
401,1,Emissary,Sisko's quarters,Sisko,,her
401,1,Emissary,Sisko's quarters,Sisko,,here
401,1,Emissary,Sisko's quarters,Sisko,,.
401,1,Emissary,Runabout,Sisko,,jake
401,1,Emissary,Runabout,Sisko,,.
401,1,Emissary,Runabout,Sisko,,jake
401,1,Emissary,Runabout,Sisko,,","
401,1,Emissary,Runabout,Sisko,,you
401,1,Emissary,Runabout,Sisko,,'re
401,1,Emissary,Runabout,Sisko,,okay
401,1,Emissary,Runabout,Sisko,,.
401,1,Emissary,Runabout,Crewman,,stand
401,1,Emissary,Runabout,Crewman,,by
401,1,Emissary,Runabout,Crewman,,to
401,1,Emissary,Runabout,Crewman,,launch
401,1,Emissary,Runabout,Crewman,,.
401,1,Emissary,Runabout,Crewwoman,,ready
401,1,Emissary,Runabout,Crewwoman,,.
401,1,Emissary,Fishing pond,Sisko,,jake
401,1,Emissary,Fishing pond,Sisko,,","
401,1,Emissary,Fishing pond,Sisko,,there
401,1,Emissary,Fishing pond,Sisko,,you
401,1,Emissary,Fishing pond,Sisko,,are
401,1,Emissary,Fishing pond,Sisko,,.
401,1,Emissary,Fishing pond,Sisko,,how
401,1,Emissary,Fishing pond,Sisko,,are
401,1,Emissary,Fishing pond,Sisko,,they
401,1,Emissary,Fishing pond,Sisko,,biting
401,1,Emissary,Fishing pond,Sisko,,?
401,1,Emissary,Fishing pond,Jake,,small
401,1,Emissary,Fishing pond,Jake,,fries
401,1,Emissary,Fishing pond,Jake,,.
401,1,Emissary,Fishing pond,Jake,,threw
401,1,Emissary,Fishing pond,Jake,,them
401,1,Emissary,Fishing pond,Jake,,back
401,1,Emissary,Fishing pond,Jake,,.
401,1,Emissary,Fishing pond,Jake,,want
401,1,Emissary,Fishing pond,Jake,,to
401,1,Emissary,Fishing pond,Jake,,go
401,1,Emissary,Fishing pond,Jake,,for
401,1,Emissary,Fishing pond,Jake,,a
401,1,Emissary,Fishing pond,Jake,,swim
401,1,Emissary,Fishing pond,Jake,,?
401,1,Emissary,Fishing pond,Sisko,,do
401,1,Emissary,Fishing pond,Sisko,,n't
401,1,Emissary,Fishing pond,Sisko,,have
401,1,Emissary,Fishing pond,Sisko,,time
401,1,Emissary,Fishing pond,Sisko,,.
401,1,Emissary,Fishing pond,Sisko,,we
401,1,Emissary,Fishing pond,Sisko,,have
401,1,Emissary,Fishing pond,Sisko,,to
401,1,Emissary,Fishing pond,Sisko,,get
401,1,Emissary,Fishing pond,Sisko,,ready
401,1,Emissary,Fishing pond,Sisko,,.
401,1,Emissary,Fishing pond,Sisko,,it
401,1,Emissary,Fishing pond,Sisko,,wo
401,1,Emissary,Fishing pond,Sisko,,n't
401,1,Emissary,Fishing pond,Sisko,,be
401,1,Emissary,Fishing pond,Sisko,,so
401,1,Emissary,Fishing pond,Sisko,,bad
401,1,Emissary,Fishing pond,Sisko,,.
401,1,Emissary,Fishing pond,Sisko,,i
401,1,Emissary,Fishing pond,Sisko,,'ve
401,1,Emissary,Fishing pond,Sisko,,heard
401,1,Emissary,Fishing pond,Sisko,,that
401,1,Emissary,Fishing pond,Sisko,,bajor
401,1,Emissary,Fishing pond,Sisko,,is
401,1,Emissary,Fishing pond,Sisko,,a
401,1,Emissary,Fishing pond,Sisko,,beautiful
401,1,Emissary,Fishing pond,Sisko,,world
401,1,Emissary,Fishing pond,Sisko,,.
401,1,Emissary,Fishing pond,Jake,,so
401,1,Emissary,Fishing pond,Jake,,why
401,1,Emissary,Fishing pond,Jake,,ca
401,1,Emissary,Fishing pond,Jake,,n't
401,1,Emissary,Fishing pond,Jake,,we
401,1,Emissary,Fishing pond,Jake,,live
401,1,Emissary,Fishing pond,Jake,,on
401,1,Emissary,Fishing pond,Jake,,the
401,1,Emissary,Fishing pond,Jake,,planet
401,1,Emissary,Fishing pond,Jake,,instead
401,1,Emissary,Fishing pond,Jake,,of
401,1,Emissary,Fishing pond,Jake,,some
401,1,Emissary,Fishing pond,Jake,,old
401,1,Emissary,Fishing pond,Jake,,space
401,1,Emissary,Fishing pond,Jake,,station
401,1,Emissary,Fishing pond,Jake,,?
401,1,Emissary,Fishing pond,Sisko,,the
401,1,Emissary,Fishing pond,Sisko,,station
401,1,Emissary,Fishing pond,Sisko,,is
401,1,Emissary,Fishing pond,Sisko,,in
401,1,Emissary,Fishing pond,Sisko,,orbit
401,1,Emissary,Fishing pond,Sisko,,of
401,1,Emissary,Fishing pond,Sisko,,bajor
401,1,Emissary,Fishing pond,Sisko,,.
401,1,Emissary,Fishing pond,Sisko,,it
401,1,Emissary,Fishing pond,Sisko,,'ll
401,1,Emissary,Fishing pond,Sisko,,be
401,1,Emissary,Fishing pond,Sisko,,just
401,1,Emissary,Fishing pond,Sisko,,like
401,1,Emissary,Fishing pond,Sisko,,shore
401,1,Emissary,Fishing pond,Sisko,,duty
401,1,Emissary,Fishing pond,Sisko,,.
401,1,Emissary,Fishing pond,Jake,,will
401,1,Emissary,Fishing pond,Jake,,there
401,1,Emissary,Fishing pond,Jake,,be
401,1,Emissary,Fishing pond,Jake,,kids
401,1,Emissary,Fishing pond,Jake,,there
401,1,Emissary,Fishing pond,Jake,,?
401,1,Emissary,Fishing pond,Sisko,,absolutely
401,1,Emissary,Fishing pond,Sisko,,.
401,1,Emissary,Fishing pond,Sisko,,lots
401,1,Emissary,Fishing pond,Sisko,,of
401,1,Emissary,Fishing pond,Sisko,,kids
401,1,Emissary,Fishing pond,Sisko,,.
401,1,Emissary,Fishing pond,Captain,,bridge
401,1,Emissary,Fishing pond,Captain,,to
401,1,Emissary,Fishing pond,Captain,,sisko
401,1,Emissary,Fishing pond,Captain,,.
401,1,Emissary,Fishing pond,Sisko,,yes
401,1,Emissary,Fishing pond,Sisko,,","
401,1,Emissary,Fishing pond,Sisko,,captain
401,1,Emissary,Fishing pond,Sisko,,.
401,1,Emissary,Fishing pond,Captain,,we
401,1,Emissary,Fishing pond,Captain,,'re
401,1,Emissary,Fishing pond,Captain,,approaching
401,1,Emissary,Fishing pond,Captain,,deep
401,1,Emissary,Fishing pond,Captain,,space
401,1,Emissary,Fishing pond,Captain,,nine
401,1,Emissary,Fishing pond,Captain,,","
401,1,Emissary,Fishing pond,Captain,,commander
401,1,Emissary,Fishing pond,Captain,,.
401,1,Emissary,Fishing pond,Captain,,we
401,1,Emissary,Fishing pond,Captain,,'ll
